Preposition
above
across
after
against
amid
around
at
before
behind
behind
beneath
beside
between
beyond
close to
concerning
considering
despite
down
in
in front of
inside
into
minus
near
next
next to
off
onto
opposite
outside
over
past
round
since
than
toward
towards
under
underneath
until
up
upon
versus
via
within
without
