prepositions
above
across
after
against
amid
around
at
before
behind
behind
beneath
beside
between
beyond
close to
concerning
considering
despite
down
in
in front of
inside
into
minus
near
next
next to
off
onto
opposite
outside
over
past
round
since
than
toward
towards
under
underneath
until
up
upon
versus
via
within
without
about
above
across
after
against
along
amid
among
anti
around
as
at
before
behind
below
beneath
beside
besides
between
beyond
but
by
concerning
considering
despite
down
during
except
excepting
excluding
following
for
from
in
inside
into
like
minus
near
of
off
on
onto
opposite
outside
over
past
per
plus
regarding
round
save
since
than
through
to
toward
towards
under
underneath
unlike
until
up
upon
versus
via
with
within
without
above



















