keycodeid,keyword,ProductCode,ProductName,synonymId,synonymkeyword
490,Soya oil,4196,Edible Oil,NULL,NULL
494,Groundnut oil,4196,Edible Oil,NULL,NULL
495,Coconut oil,4196,Edible Oil,NULL,NULL
496,Cooking oil,4196,Edible Oil,NULL,NULL
500,Vegetable fats,4196,Edible Oil,NULL,NULL
502,Oil cake,5868,Fertilizer Product,NULL,NULL
506,ghee,4196,Edible Oil,NULL,NULL
510,Margarine,3423,Milk Product,NULL,NULL
512,Milk,3423,Milk Product,NULL,NULL
519,Condensed milk,3423,Milk Product,NULL,NULL
520,Milk powder,3423,Milk Product,10008,Milk powder
520,Milk powder,3423,Milk Product,10010,Milking powder
526,Butter,3423,Milk Product,NULL,NULL
528,Cheese,3423,Milk Product,NULL,NULL
547,Lactose,3840,Chemical,NULL,NULL
552,Flour,3337,Food Grain,NULL,NULL
554,Wheat flour,3337,Food Grain,NULL,NULL
561,Corn flour,3337,Food Grain,NULL,NULL
570,Cornflakes,3337,Food Grain,NULL,NULL
578,Bran,3337,Food Grain,NULL,NULL
580,Glucose,1317,Medicine,NULL,NULL
582,Fructose,3840,Chemical,NULL,NULL
588,Semolina,3337,Food Grain,NULL,NULL
589,Custard powder,3337,Food Grain,NULL,NULL
590,Animal feed,4932,Animal Feed,NULL,NULL
591,Fish feed,4932,Animal Feed,NULL,NULL
593,Poultry feed,4932,Animal Feed,NULL,NULL
594,Cattle Feed,4932,Animal Feed,NULL,NULL
599,Bread,2896,Bakery Products,NULL,NULL
600,Bun,2896,Bakery Products,NULL,NULL
601,Croissants,2896,Bakery Products,NULL,NULL
605,Pies,2896,Bakery Products,NULL,NULL
616,Jaggery,3426,Sugar,NULL,NULL
617,Sugar,3426,Sugar,NULL,NULL
618,White sugar,3426,Sugar,NULL,NULL
620,Molasses,3426,Sugar,NULL,NULL
622,Honey,3426,Sugar,NULL,NULL
624,Caramel,3426,Sugar,NULL,NULL
629,Cocoa,6073,Coffee,NULL,NULL
631,Cocoa butter,3423,Milk Product,NULL,NULL
632,cocoa powder,3296,Food And Beverage Items,NULL,NULL
634,Chocolate,3423,Milk Product,NULL,NULL
636,Drinking chocolate,3423,Milk Product,NULL,NULL
638,Confectionery,3423,Milk Product,NULL,NULL
643,Macaroni,3337,Food Grain,NULL,NULL
646,Pasta,2896,Bakery Products,NULL,NULL
650,Coffee,6073,Coffee,NULL,NULL
655,Tea,5925,Tea,NULL,NULL
656,Green tea,5925,Tea,NULL,NULL
657,Black tea,5925,Tea,NULL,NULL
662,Vinegar,3296,Food And Beverage Items,NULL,NULL
668,Mayonnaise,3296,Food And Beverage Items,NULL,NULL
672,Spices,10125,Pulse & spices,NULL,NULL
673,Herbs,3174,Ayurvedic Medicines,NULL,NULL
674,Salt,4169,Salt,NULL,NULL
675,Ginger,10125,Pulse & spices,NULL,NULL
677,Baby food,3296,Food And Beverage Items,NULL,NULL
