ProcurementTerms
Design
Purchase
Providing
Supply
Installation
Testing
Commissioning
Engineering
Procurement
Construction
EPC
Reconstruction
Development
Redevelopment
Rehabilitation
Renovation
Restoration
Implementation
Refurbishment
Establishment
Maintenance
Repair
Upgradation
Upgrading
Execution
Erection
Widening
Strengthening
Resurfacing
Improvement
Renewal
Carpeting
Concreting
Formation
Laying
Paving
Rectification
Expansion
Extension
Operation
Recarpeting
Rejuvenation
Surfacing
Joint filling
Setting up
Resetting
Boring
Fixing
Alteration
Outsourcing
Realignment
Hiring
Hire
Leasing
Lease
Rental
Rent
Renting
Appointment
Sale
Sell
Replacement
Import
Export
Annual Maintenance Contract
AMC
Arrangement
Fabrication
Manufacturing
Inspection
Packing
Delivery
Excavation
Extraction
Rate Contract
Modification
Shifting
Rewinding
Revamping
Allotment
Preparation
Provision
Painting
Landscaping
Beautification
Transportation
Loading
Unloading
Stacking
Laning
Overhauling
Auction
Augmentation
Addition
Engaging
Fencing
Servicing
Drawing
Reconditioning
Licensing
Collection
Disposal
Empanelment
Selection
Deployment
Refilling
Assembling
Fitting
Protection
Work
Repairs
